epoch;loss;mae;val_loss;val_mae
0;65652.4453125;65652.4453125;50390.0234375;50390.0234375
1;49969.73828125;49969.73828125;50911.203125;50911.203125
2;49766.95703125;49766.95703125;50256.66796875;50256.66796875
3;49633.1875;49633.1875;50393.02734375;50393.02734375
4;49572.203125;49572.203125;50886.546875;50886.546875
5;49506.6640625;49506.6640625;50318.078125;50318.078125
6;49476.62890625;49476.62890625;50654.3828125;50654.3828125
7;49497.53515625;49497.53515625;50600.8828125;50600.8828125
