epoch;accuracy;loss;val_accuracy;val_loss
0;0.8274999856948853;0.4078656733036041;0.8600000143051147;0.3570626378059387
1;0.8521249890327454;0.36062389612197876;0.859499990940094;0.35412654280662537
2;0.8557500243186951;0.35382843017578125;0.8529999852180481;0.34825053811073303
3;0.8565000295639038;0.34641897678375244;0.8579999804496765;0.3425501585006714
4;0.8582500219345093;0.34111225605010986;0.8510000109672546;0.38245585560798645
5;0.8586249947547913;0.34244242310523987;0.8535000085830688;0.34862348437309265
6;0.8615000247955322;0.33924600481987;0.8529999852180481;0.3467530906200409
7;0.8621249794960022;0.33707767724990845;0.8575000166893005;0.34731027483940125
8;0.859375;0.3356732130050659;0.8569999933242798;0.3486965298652649
0;0.8320000171661377;0.40246015787124634;0.8550000190734863;0.36320024728775024
1;0.8544999957084656;0.35395246744155884;0.859499990940094;0.3480707108974457
2;0.8573750257492065;0.34846359491348267;0.8479999899864197;0.353706419467926
3;0.8613749742507935;0.3436354100704193;0.8544999957084656;0.35192885994911194
4;0.8612499833106995;0.3439895212650299;0.8600000143051147;0.34152209758758545
5;0.8617500066757202;0.3378356099128723;0.8640000224113464;0.3472534120082855
6;0.8643749952316284;0.3367309272289276;0.8544999957084656;0.34766337275505066
7;0.8636249899864197;0.3345828354358673;0.8619999885559082;0.3394421935081482
8;0.8627499938011169;0.33456122875213623;0.8565000295639038;0.3413599729537964
9;0.8661249876022339;0.32959893345832825;0.8615000247955322;0.3347057104110718
10;0.8668749928474426;0.3286438584327698;0.859000027179718;0.34483975172042847
11;0.8668749928474426;0.3279821276664734;0.8510000109672546;0.3446713387966156
12;0.8648750185966492;0.325766921043396;0.8615000247955322;0.3419264554977417
13;0.8651250004768372;0.32307204604148865;0.8650000095367432;0.3413713276386261
14;0.8709999918937683;0.3203509449958801;0.8615000247955322;0.34313341975212097
